,subject,passive,target,tone,frequency,dB,sub_num,passive_order,accuracy
156,16,False,130.0,200,199.80019980019975,2.936386619452946,16,2,low
157,16,False,200.0,200,199.80019980019975,6.267424952083736,16,2,low
158,16,False,280.0,200,199.80019980019975,2.206693617574488,16,2,low
159,16,True,,200,199.80019980019975,11.208667275373994,16,2,low
160,18,False,130.0,200,199.80019980019975,5.514493393372012,18,2,high
161,18,False,200.0,200,199.80019980019975,5.839079190410144,18,2,high
162,18,False,280.0,200,199.80019980019975,5.929240473304271,18,2,high
163,18,True,,200,199.80019980019975,10.936353164216433,18,2,high
164,19,False,130.0,200,199.80019980019975,7.398199122297883,19,1,high
165,19,False,200.0,200,199.80019980019975,5.896810552608047,19,1,high
166,19,False,280.0,200,199.80019980019975,4.595535298846815,19,1,high
167,19,True,,200,199.80019980019975,10.838880512829824,19,1,high
168,20,False,130.0,200,199.80019980019975,4.035370946558508,20,2,high
169,20,False,200.0,200,199.80019980019975,7.5253034435774735,20,2,high
170,20,False,280.0,200,199.80019980019975,6.781107472002306,20,2,high
171,20,True,,200,199.80019980019975,11.897018662331387,20,2,high
172,21,False,130.0,200,199.80019980019975,11.853119285193578,21,1,low
173,21,False,200.0,200,199.80019980019975,11.776204559011788,21,1,low
174,21,False,280.0,200,199.80019980019975,12.883219746217613,21,1,low
175,21,True,,200,199.80019980019975,19.25532202292683,21,1,low
176,22,False,130.0,200,199.80019980019975,8.350571045631604,22,2,low
177,22,False,200.0,200,199.80019980019975,5.208729067516675,22,2,low
178,22,False,280.0,200,199.80019980019975,9.186425193090228,22,2,low
179,22,True,,200,199.80019980019975,10.508717862925,22,2,low
180,23,False,130.0,200,199.80019980019975,9.272897160202495,23,1,low
181,23,False,200.0,200,199.80019980019975,4.865225701759058,23,1,low
182,23,False,280.0,200,199.80019980019975,2.9802319636592016,23,1,low
183,23,True,,200,199.80019980019975,14.067300394991824,23,1,low
184,24,False,130.0,200,199.80019980019975,2.930068124893321,24,2,low
185,24,False,200.0,200,199.80019980019975,9.889424745148435,24,2,low
186,24,False,280.0,200,199.80019980019975,6.739031017889911,24,2,low
187,24,True,,200,199.80019980019975,21.26378394675513,24,2,low
188,25,False,130.0,200,199.80019980019975,6.786386374440012,25,1,low
189,25,False,200.0,200,199.80019980019975,7.982379040653408,25,1,low
190,25,False,280.0,200,199.80019980019975,7.478905392351831,25,1,low
191,25,True,,200,199.80019980019975,7.563505546690412,25,1,low
192,26,False,130.0,200,199.80019980019975,9.713816650894929,26,2,low
193,26,False,200.0,200,199.80019980019975,6.801482257188751,26,2,low
194,26,False,280.0,200,199.80019980019975,7.5988319307678704,26,2,low
195,26,True,,200,199.80019980019975,13.52476560583243,26,2,low
196,28,False,130.0,200,199.80019980019975,2.4356962882215702,28,2,high
197,28,False,200.0,200,199.80019980019975,-5.107468232839629,28,2,high
198,28,False,280.0,200,199.80019980019975,1.441552110756932,28,2,high
199,28,True,,200,199.80019980019975,3.634907560930047,28,2,high
200,29,False,130.0,200,199.80019980019975,2.0965388829989844,29,1,low
201,29,False,200.0,200,199.80019980019975,-0.3264617088686114,29,1,low
202,29,False,280.0,200,199.80019980019975,2.511973746622958,29,1,low
203,29,True,,200,199.80019980019975,6.987714965193018,29,1,low
204,30,False,130.0,200,199.80019980019975,0.8521363362724234,30,2,low
205,30,False,200.0,200,199.80019980019975,-0.2064869679948689,30,2,low
206,30,False,280.0,200,199.80019980019975,-4.046395128667917,30,2,low
207,30,True,,200,199.80019980019975,-1.081452144117394,30,2,low
208,2,False,130.0,280,279.7202797202797,1.530887272153164,2,1,low
209,2,False,200.0,280,279.7202797202797,6.1949570470125686,2,1,low
210,2,False,280.0,280,279.7202797202797,2.254131011885684,2,1,low
211,2,True,,280,279.7202797202797,4.342242675300646,2,1,low
212,3,False,130.0,280,279.7202797202797,-0.7471883620380544,3,2,high
213,3,False,200.0,280,279.7202797202797,-1.3358509366683025,3,2,high
214,3,False,280.0,280,279.7202797202797,1.3506922831427732,3,2,high
215,3,True,,280,279.7202797202797,3.503772203648832,3,2,high
216,4,False,130.0,280,279.7202797202797,0.2812059954017221,4,1,low
217,4,False,200.0,280,279.7202797202797,-3.2984246388030973,4,1,low
218,4,False,280.0,280,279.7202797202797,2.305561607613514,4,1,low
219,4,True,,280,279.7202797202797,2.2780959627115567,4,1,low
220,6,False,130.0,280,279.7202797202797,5.779368274954911,6,1,high
221,6,False,200.0,280,279.7202797202797,3.8466363419853074,6,1,high
222,6,False,280.0,280,279.7202797202797,3.404162299765111,6,1,high
223,6,True,,280,279.7202797202797,4.528661876443028,6,1,high
224,7,False,130.0,280,279.7202797202797,1.2448889321351404,7,2,low
225,7,False,200.0,280,279.7202797202797,-0.6347284396405061,7,2,low
226,7,False,280.0,280,279.7202797202797,3.006807607691799,7,2,low
227,7,True,,280,279.7202797202797,1.9150472832973315,7,2,low
228,8,False,130.0,280,279.7202797202797,0.9110267470688206,8,1,high
229,8,False,200.0,280,279.7202797202797,-2.577553297388655,8,1,high
230,8,False,280.0,280,279.7202797202797,3.637739997471364,8,1,high
231,8,True,,280,279.7202797202797,3.935928308817223,8,1,high
232,9,False,130.0,280,279.7202797202797,3.531784303312068,9,1,high
233,9,False,200.0,280,279.7202797202797,1.6062547130906415,9,1,high
234,9,False,280.0,280,279.7202797202797,0.0222185404852232,9,1,high
235,9,True,,280,279.7202797202797,-1.4770475586131229,9,1,high
236,10,False,130.0,280,279.7202797202797,1.470559055119303,10,2,high
237,10,False,200.0,280,279.7202797202797,-1.8382561924424436,10,2,high
